seasonStartYear,awayTeam,pointsAway,homeTeam,pointsHome,attendance,notes,startET,Arena,datetime,isRegular,game_id,homeTeam_abb,awayTeam_abb,MatchUp,bs_url,pbp_url
2023,Minnesota Timberwolves,107.0,New Orleans Pelicans,121.0,16487.0,,8:00p,Smoothie King Center,2023-12-11,1,325,NOP,MIN,MIN@NOP,https://www.basketball-reference.com/boxscores/202312110NOP.html,https://www.basketball-reference.com/boxscores/pbp/202312110NOP.html
2023,Dallas Mavericks,120.0,Memphis Grizzlies,113.0,16379.0,,8:00p,FedEx Forum,2023-12-11,1,326,MEM,DAL,DAL@MEM,https://www.basketball-reference.com/boxscores/202312110MEM.html,https://www.basketball-reference.com/boxscores/pbp/202312110MEM.html
2023,Utah Jazz,120.0,Oklahoma City Thunder,134.0,16631.0,,8:00p,Paycom Center,2023-12-11,1,327,OKC,UTA,UTA@OKC,https://www.basketball-reference.com/boxscores/202312110OKC.html,https://www.basketball-reference.com/boxscores/pbp/202312110OKC.html
2023,Toronto Raptors,130.0,New York Knicks,136.0,19812.0,,7:30p,Madison Square Garden (IV),2023-12-11,1,328,NYK,TOR,TOR@NYK,https://www.basketball-reference.com/boxscores/202312110NYK.html,https://www.basketball-reference.com/boxscores/pbp/202312110NYK.html
2023,San Antonio Spurs,82.0,Houston Rockets,93.0,16481.0,,8:00p,Toyota Center,2023-12-11,1,329,HOU,SAS,SAS@HOU,https://www.basketball-reference.com/boxscores/202312110HOU.html,https://www.basketball-reference.com/boxscores/pbp/202312110HOU.html
2023,Miami Heat,116.0,Charlotte Hornets,114.0,15543.0,,7:00p,Spectrum Center,2023-12-11,1,330,CHA,MIA,MIA@CHA,https://www.basketball-reference.com/boxscores/202312110CHA.html,https://www.basketball-reference.com/boxscores/pbp/202312110CHA.html
2023,Indiana Pacers,131.0,Detroit Pistons,123.0,14988.0,,7:00p,Little Caesars Arena,2023-12-11,1,331,DET,IND,IND@DET,https://www.basketball-reference.com/boxscores/202312110DET.html,https://www.basketball-reference.com/boxscores/pbp/202312110DET.html
2023,Chicago Bulls,129.0,Milwaukee Bucks,133.0,17440.0,,8:00p,Fiserv Forum,2023-12-11,1,332,MIL,CHI,CHI@MIL,https://www.basketball-reference.com/boxscores/202312110MIL.html,https://www.basketball-reference.com/boxscores/pbp/202312110MIL.html
2023,Washington Wizards,101.0,Philadelphia 76ers,146.0,19762.0,,7:00p,Wells Fargo Center,2023-12-11,1,333,PHI,WAS,WAS@PHI,https://www.basketball-reference.com/boxscores/202312110PHI.html,https://www.basketball-reference.com/boxscores/pbp/202312110PHI.html
2023,Cleveland Cavaliers,94.0,Orlando Magic,104.0,19032.0,,7:00p,Amway Center,2023-12-11,1,334,ORL,CLE,CLE@ORL,https://www.basketball-reference.com/boxscores/202312110ORL.html,https://www.basketball-reference.com/boxscores/pbp/202312110ORL.html
2023,Denver Nuggets,129.0,Atlanta Hawks,122.0,17531.0,,7:30p,State Farm Arena,2023-12-11,1,335,ATL,DEN,DEN@ATL,https://www.basketball-reference.com/boxscores/202312110ATL.html,https://www.basketball-reference.com/boxscores/pbp/202312110ATL.html
2023,Cleveland Cavaliers,113.0,Boston Celtics,120.0,19156.0,,7:30p,TD Garden,2023-12-12,1,336,BOS,CLE,CLE@BOS,https://www.basketball-reference.com/boxscores/202312120BOS.html,https://www.basketball-reference.com/boxscores/pbp/202312120BOS.html
2023,Los Angeles Lakers,125.0,Dallas Mavericks,127.0,20377.0,,7:30p,American Airlines Center,2023-12-12,1,337,DAL,LAL,LAL@DAL,https://www.basketball-reference.com/boxscores/202312120DAL.html,https://www.basketball-reference.com/boxscores/pbp/202312120DAL.html
2023,Denver Nuggets,114.0,Chicago Bulls,106.0,20775.0,,8:00p,United Center,2023-12-12,1,338,CHI,DEN,DEN@CHI,https://www.basketball-reference.com/boxscores/202312120CHI.html,https://www.basketball-reference.com/boxscores/pbp/202312120CHI.html
2023,Golden State Warriors,116.0,Phoenix Suns,119.0,17071.0,,10:00p,Footprint Center,2023-12-12,1,339,PHO,GSW,GSW@PHO,https://www.basketball-reference.com/boxscores/202312120PHO.html,https://www.basketball-reference.com/boxscores/pbp/202312120PHO.html
2023,Sacramento Kings,99.0,Los Angeles Clippers,119.0,17060.0,,10:30p,Crypto.com Arena,2023-12-12,1,340,LAC,SAC,SAC@LAC,https://www.basketball-reference.com/boxscores/202312120LAC.html,https://www.basketball-reference.com/boxscores/pbp/202312120LAC.html
2023,New York Knicks,113.0,Utah Jazz,117.0,18206.0,,9:00p,Delta Center,2023-12-13,1,341,UTA,NYK,NYK@UTA,https://www.basketball-reference.com/boxscores/202312130UTA.html,https://www.basketball-reference.com/boxscores/pbp/202312130UTA.html
2023,Los Angeles Lakers,122.0,San Antonio Spurs,119.0,18354.0,,8:00p,Frost Bank Center,2023-12-13,1,342,SAS,LAL,LAL@SAS,https://www.basketball-reference.com/boxscores/202312130SAS.html,https://www.basketball-reference.com/boxscores/pbp/202312130SAS.html
2023,Indiana Pacers,126.0,Milwaukee Bucks,140.0,17431.0,,8:00p,Fiserv Forum,2023-12-13,1,343,MIL,IND,IND@MIL,https://www.basketball-reference.com/boxscores/202312130MIL.html,https://www.basketball-reference.com/boxscores/pbp/202312130MIL.html
2023,Brooklyn Nets,116.0,Phoenix Suns,112.0,17071.0,,9:00p,Footprint Center,2023-12-13,1,344,PHO,BRK,BRK@PHO,https://www.basketball-reference.com/boxscores/202312130PHO.html,https://www.basketball-reference.com/boxscores/pbp/202312130PHO.html
